Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
MOAO126,Màn hình AOC E2270SWN (21.5 inch/FHD/LED/TN/VGA/200cd/m²/60hz),24 tháng,2099000,1849000,img/MONITOR/250_42028_aoc_2270swn__4_.png,"- Kích Thước Màn Hình	21,5 INCH.- Độ Sáng Màn Hình	250 cd/m² .- Tỉ Lệ Tương Phản Động MEGA	600:1 (Typical) 20,000,000:1(DCR) .- Độ Phân Giải Màn Hình	1920 X 1080.- Thời Gian Đáp Ứng	5ms."
MOSA172,Màn hình Samsung LU28E590 LED (28 inch/4K/LED/350cd/m²/DP+HDMI/60Hz/5ms),24 tháng,0,7645000,img/MONITOR/250_43270__samsung_lu28e590__1_.jpg,"- Kiểu màn hình	Màn hình LED 4K.- Kích thước màn hình	28"" .- Độ sáng	370cd/m2.- Tỷ lệ tương phản	1,000:1.- Độ phân giải	3840 x 2160."
MOLG146,Màn hình LG 24MK600M-B (23.8 inch/FHD/IPS/75Hz/5ms/250nits/HDMI+VGA),24 tháng,3900000,3589000,img/MONITOR/250_44319_lg_24mk600m__4_.png,"- Chủng loại	Màn hình LG 23.8""24MK600M-B LED IPS.- Kích Thước Màn Hình	23.8''.- Độ Sáng Màn Hình	250 cd/m².- Tỉ Lệ Tương Phản 	1000:1(Điển hình).- Độ Phân Giải Màn Hình	Full HD (1080p) 1920x1080 ."
MOFU002,Màn Hình Fujitsu VT24T-1R (23.6''/FHD/Wide LED),24 tháng,3519000,3199000,img/MONITOR/250_48295_fujitsu_vt24t_1r.png,"- 23.6"" Wide led, Full HD 1920 x 1080.- 1 VGA Port, 1 HDMI port.- 2 x 2w speaker, 1 audio Port, 3.5 mm stereo phone jack."
MOVI093,Màn hình Viewsonic VX2458-C-MHD (23.6 inch/FHD/LED/144Hz/1ms/280 nits/DP+HDMI/Cong),24 tháng,4999000,4389000,img/MONITOR/250_46283_viewsonic_vx2458__4_.png,- Loại màn hình: Cong.- Kích thước: 24 inch.- Tấm nền: VA.- Độ phân giải: Full HD (1920x1080).- Tốc độ làm mới: 144Hz.
MOHP125,Màn hình HP Z24NF G2 (23.8 inch/FHD/LED/IPS/250cd/m²/DP+HDMI/60Hz/5ms) ,24 tháng,5849000,4949000,img/MONITOR/250_47046_hp_z24n_g2__4_.png,- Tên Hãng	HP.- Model	Z24nf G2 Display (1JS07A4).- Kiểu màn hình	Màn hình đồ họa.- Kích thước màn hình	23.8Inch IPS.- Độ sáng	250cd/m2.
MOSA205,Màn hình Samsung LC32R500FHEXXV (32 inch/FHD/VA/75 Hz),24 tháng,6699000,5689000,img/MONITOR/250_51798_mat_truoc.jpg,- Tỉ lệ: 16:9.- Kích thước: 31.5 inch.- Tấm nền: VA.- Độ phân giải: Full HD (1920x1080).- Tốc độ làm mới: 75Hz.
MOVI106,Màn hình Viewsonic VA2432-H (23.8 inch/FHD/IPS/75Hz/5ms/250 nits/HDMI+VGA),24 tháng,2999000,2649000,img/MONITOR/250_52118_viewsonic_va2432_h__4_.png,- Cổng kết nối HDMI và VGA.- Công nghệ SuperClear® IPS cho màu sắc chân thực và góc nhìn rộng.- Công nghệ bảo vệ mắt.- Chế độ tiết kiệm với mức tiêu thụ điện năng thấp.- Chức năng ViewMode độc quyền tích hợp sẵn các cấu hình hiển thị màu khác nhau.
MODE168,Màn hình Dell U2520D (25 inch/2K/IPS/60Hz/5ms/350 nits/HDMI+DP+USB-C),36 tháng,8749000,8489000,img/MONITOR/250_52558_dell_u2520d__6_.jpg,- Tái tạo màu sắc trung thực với độ bao phủ màu rộng bao gồm 99% sRGB 99% Rec 709 và 95% DCI-P3 Với độ phủ màu lớn hơn khoảng 25% so với sRGB DCI-P3 đang trở thành tiêu chuẩn màu mới..- Sạc USB-C Nhận tối đa 90W cung cấp năng lượng - cung cấp năng lượng cao nhất trong màn hình USB-C - Luôn cung cấp năng lượng để sạc điện liên tục cho hệ thống của bạn ngay cả khi tắt màn hình.- Chế độ xem không bị gián đoạn trên nhiều màn hình với InfinityEdge .- Cài đặt nhanh chóng đa màn hình USB-C thuận tiện nhất thế giới Dell Express Daisy Chaining cho phép tự động phát hiện màn hình thứ hai bỏ qua bước thủ công thay đổi cài đặt OSD.- Linh hoạt cho sự thoải mái cả ngày với trục xoay và điều chỉnh độ cao của màn hình để phù hợp với nhu cầu của bạn.
MOLG170,Màn hình LG 34GN850-B (34 inch/2K/NanoIPS/144Hz/1ms/400 nits/HDMI+DP+USB/Cong),24 tháng,25848900,23499000,img/MONITOR/250_52754_lg_34gn850_b__7_.jpg,- Màn hình siêu rộng 34 inch (3440x1440) cong.- Tấm nền Nano IPS 1ms (GtG).- Tương thích AMD freesync Premium vs NVIDIA G-SYNC compatible.- Tần số quét 144hz.- VESA DisplayHDR ™ 400.
MOVI103,Màn hình Viewsonic XG2405 (24 inch/IPS/FHD/250cd/m2/1ms/144Hz/FreeSync/AntiGlare/HDMI/DisplayPort/3.5mm),24 tháng,6599000,5699000,img/MONITOR/250_51941_mat_truocxg2405.png,- Thời gian phản hồi 1ms.- Công nghệ SuperClear® IPS.- Công nghệ AMD FreeSync™.- Độ phân giải Full HD 1080p.- Thiết kế công thái học cho game thủ.
MOSA212,Màn hình Samsung LF27T350FHEXXV (27inch/FHD/IPS/75Hz/5ms/250nits/HDMI+DSub/Freesync),24 tháng,4899000,4639000,img/MONITOR/250_54262_lf24t350__4_.png,- Tỉ lệ: 16:9.- Kích thước: 27 inch.- Tấm nền: IPS.- Độ phân giải: Full HD (1920x1080).- Tốc độ làm mới: 75Hz.
GIAT147,Giá đỡ màn hình máy tính gắn cạnh bàn North Bayou H100 (22-35 inch),24 tháng,799000,749000,img/MONITOR/250_53929_nb_h100__2_.png,"- Model: H100.- Hãng: North Bayou [NB].- Dùng cho màn hình từ 22inch đến 35inch.- Trọng tải 2kg đến 12 kg.- Chuẩn VESA 75mm x 75mm, 100mm x 100mm."
MOAS177,Màn hình Asus VG249Q1R (23.8inch/FHD/IPS/144Hz/1ms/HDMI+DP+Audio/FreeSync),24 tháng,5489000,4989000,img/MONITOR/250_55544_vg249q1r__6_.png,"- Màn hình chuyên game 27 inch Full HD (1920 x 1080) với tốc độ làm tươi cực nhanh 165Hz (Chế độ OC) được thiết kế dành cho các game thủ chuyên nghiệp và trải nghiệm chơi game đắm chìm.- Công nghệ Extreme Low Motion Blur (ELMB ™) của ASUS cho phép thời gian đáp ứng là 1ms (MPRT) cùng với công nghệ Adaptive-sync, giúp loại bỏ hiện tưởng bóng mờ và xé hình với những hình ảnh trong game sắc nét có tốc độ khung hình cực cao..- Công nghệ FreeSync được hỗ trợ thông qua cổng DP và HDMI cung cấp tốc độ làm tươi tùy biến giúp độ trễ thấp, loại bỏ hiện tượng giật hay xé hình khi chơi game..- Shadow Boost tăng cường chi tiết hình ảnh trong các vùng tối, làm sáng vùng tối mà không gây cháy sáng các vùng sáng hơn.- Chức năng GamePlus độc quyền được thiết kế nhằm đáp ứng được mọi nhu cầu chơi game."
MODE184,Màn hình Dell S2421HGF (23.8icnh/FHD/TN/144Hz/5ms/350nits/HDMI+DP+USB+Audio),24 tháng,5699000,5179000,img/MONITOR/250_56109_s2421hgf__5_.png,"- Thời gian phản hồi 1ms và tốc độ làm mới 144Hz mang lại trải nghiệm mượt mà, không bị gián đoạn. .- Công nghệ AMD FreeSync Premium.- Chiều cao và khả năng điều chỉnh độ nghiêng cho phép bạn chơi thoải mái trong thời gian dài.- Chân đế thon mới được thiết kế mỏng và kiểu dáng đẹp."
