Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
RADI033,Radiator Slim 120mm OEM,24 tháng,0,699000,img/FAN/250_34466_radiator_slim_120mm_oem2.jpg,
RADI060,Radiator Freezemod TSRP-BP240,24 tháng,0,749000,img/FAN/250_42250_radiator_freezemod_tsrp_bp240.jpg,
TOOL020,Gông bắt linh kiện vào Radiator 140mm ( Barrow TCBJ-G14),24 tháng,0,169000,img/FAN/250_41891_gong_bat_linh_kien_vao_radiator_140mm_barrow_tcbj_g14_0001_barrow_tcbj_g14_t_n_nhi_t_ng_n_c_t_u_s_n_bay_m_q50__1_.jpg,
PUMP093,LIAN LI O11D DISTRO-PLATE G1 DESIGNED BY EKWB WITH DDC 3.1 PUMP,24 tháng,0,5999000,img/FAN/250_49613_lian_li_o11d_distro_plate_g1_designed_by_ekwb_with_ddc_3_1_pump_9.jpg,"- Bảng nước siêu phong cách, được tối ưu hóa cho dòng O11 Dynamic từ Lian Li.- Được tạo ra là kết quả của sự hợp tác chặt chẽ giữa Lian Li và EK Water Blocks.- Bơm DDC 3.1 tích hợp với kết nối PWM 4 chân.- 11 cổng G1 / 4 "", được thiết kế cho 1 CPU và tối đa 2 GPU.- Tương thích O11 Dynamic và Dynamic XL với tối đa 2 radiator 360 mm."
TANK066,Tank Bykski B-CT-M 150mm,24 tháng,0,449000,img/FAN/250_37011_bykski_b_ct_m_0002_3.jpg,- Tank chứa nước dành cho tản nhiệt nước Custom.- Tank có chiều cao 150mm.
TANK093,EK-Quantum Volume FLT 120 D-RGB - Plexi,24 tháng,0,2519000,img/FAN/250_49611_ek_quantum_volume_flt_120_d_rgb___plexi_0002_1__1_.jpg,"- EK-Quantum Volume FLT hoàn toàn mới (FLT)! Đây là một phần của dòng sản phẩm bình chứa nước Quantum EK đi kèm led D-RGB! Mỗi sản phẩm đều tương thích lỗ lắp quạt tiêu chuẩn 120mm để linh hoạt tối đa trong quá trình lắp đặt. Bình chứa nước được trang bị tổng cộng 4 cổng G1 / 4“ để người dùng có thể chọn các thiết lập tối ưu nhất cho hệ thống làm mát của họ..- EK® Quantum - Thiết kế & Hiệu suất.- Volumne là một phần của EK Quantum, dòng sản phẩm nhấn mạnh tối giản, thiết kế thanh lịch, và hiệu suất. Dành cho những ai muốn nổi bật!."
FITT194,EK-PLUG G1/4,24 tháng,0,49000,img/FAN/250_37471_fitting_ek_plug_g14__2_.jpg,- EK G1/4 plug with o-ring. To tighten the plug you will need 6mm allen key..
FITT180,EK-AF Angled 2×45° G1/4 Black,24 tháng,0,269000,img/FAN/250_37457_ek_af_angled_2__45___g14_black_0000_1.jpg,"- EK-AF (Adapter Fitting) is a revolvable angled (2×45°) adapter fitting with G1/4"" threads.."
FITT250,EK-AF Classic Angled 90° - Nickel,24 tháng,0,179000,img/FAN/250_46712_fitting_ek_af_classic_angled_90_____nickel.jpg,
FITT182,EK-AF Angled 90° 2F G1/4 Nickel,24 tháng,0,189000,img/FAN/250_37459_ek_af_angled_90___2f_g14_nickel_0003_1__1_.jpg,"- EK-AF (Adapter Fitting) is a 90° adapter fitting with two female G1/4"" threads.."
FITT319,EK-Torque HTC-16 Color Rings Pack - Red (10pcs),24 tháng,0,369000,img/FAN/250_49665_ek_torque_htc_16_color_rings_pack___red__10pcs__0000_1__2_.jpg,- EK-Torque HTC 16 Color Rings Pack là các vòng màu thay đổi dành cho fitting 16mm mới của EK được thiết kế để sử dụng với ống cứng OD 14mm như Acrylic và PETG. Chúng được làm bằng nhôm anode.
HHTL352,EK-AF Angled 45° G1/4 Nickel (HÀNG THANH LÝ),24 tháng,219000,99000,img/FAN/250_54344_37454_ek_af_angled_45___g1_4_nickel_0000_layer_2.jpg,"- EK-AF (Adapter Fitting) is a revolvable angled (45°) adapter fitting with G1/4"" threads.."
HHTL375,EK-Torque HTC-16 Color Rings Pack - Green (10pcs) (HÀNG THANH LÝ),24 tháng,430000,119000,img/FAN/250_54367_49662_ek_torque_htc_16_color_rings_pack___green__10pcs__0000_1__2_.jpg,- EK-Torque HTC 16 Color Rings Pack là các vòng màu thay đổi dành cho fitting 16mm mới của EK được thiết kế để sử dụng với ống cứng OD 14mm như Acrylic và PETG. Chúng được làm bằng nhôm anode.
ONGT026,"EK-DuraClear 9,5/15,9mm 3M RETAIL",24 tháng,0,579000,img/FAN/250_37486_ek_duraclear_9_515_9mm_3m_retail_0000_1.jpg,"- EK-DuraClear 9,5 mm (3/8"") / 15,9 mm (5/8"") transparent tube..- .- Internal diameter (ID): 9,5 mm (3/8"").- Outer diameter (OD): 15,9 mm (5/8"").- ."
CABL207,Cáp nguồn Nối Dài 8Pin 30cm màu Trắng/ Cam,24 tháng,199000,129000,img/FAN/250_29264_day_8pin_cpu_noi_dai_30cm.jpg,
PUMP083,EK-Leak Tester ,24 tháng,0,1149000,img/FAN/250_48990_ek_leak_tester_1.png,"- EK-Leak Tester là dụng cụ kiểm tra nhanh và an toàn cho các rò rỉ có thể xảy ra trong hệ thống tản nhiệt nước của bạn..- Các rò rỉ chất lỏng có thể tiềm ẩn và phát sinh sau đó một vài tiếng khi sử dụng. Với EK-Leak Tester, việc phát hiện các nguy cơ rò rỉ tiềm ẩn được thực hiện gần như ngay lập tức! Bạn có thể hoàn toàn tiết kiệm được thời gian kiểm tra, lắp đặt và đảm bảo cho hệ thống vận hành suôn sẻ.."
GIAC117,Dây nối molex ra 4pin fan,24 tháng,0,49000,img/FAN/250_34462_molex_to_4pin_fan_0000_1.jpg,
TOOL039,EK-UNI Pump Bracket (140mm FAN) Vertical,24 tháng,0,459000,img/FAN/250_46324_ek_uni_pump_bracket__140mm_fan__vertical_0000_1.jpg,"- Gông giữ bơm xoay dọc, bắt lên vị trí của quạt, tương thích với các loại quạt 140mm.."
FITT086,Fitting Adapter 90* Female - Female Matt Black OEM,24 tháng,0,89000,img/FAN/250_33249_fitting_adapter_90_female_female_matt_black_oem_1.jpg,"- Fitting góc chếch 90*, dùng cho các góc cua ống thay vì uốn .- Bao gồm 2 đầu ren G1/4 phổ thông để gắn fitting .- Màu đen."
FITT207,Bitspower G1/4 inch Silver Shining Triple Rotary 90-Degree IG1/4 inch Extender,24 tháng,0,449000,img/FAN/250_38214_bitspower_g1_4_inch_silver_shining_triple_rotary_90_degree_ig1_4_inch_extender_0000_1.jpg,
FITT125,Fitting Bykski Extend 20mm Male - Female Matt Black  ,24 tháng,0,59000,img/FAN/250_35843_tb2b6vortfopufjszfhxxbslxxa___68100854.jpg,
FANC312,Tản nhiệt CPU Cooler Master Hyper 212X,24 tháng,0,899000,img/FAN/250_15735_tan_nhiet_cpu_cooler_master_hyper_212x_1__0003_3.jpg,- - Hiệu năng tản nhiệt cao với 4 ống đồng tiếp xúc trực tiếp với CPU..- - Các lá nhôm được xếp thành hàng theo thiết kế mới New Tunnel Effect để nâng cao hiệu năng tản nhiệt..- - Cánh quạt được thiết kế lại để tăng lượng gió nhưng không tạo thêm tiếng ồn..- - Công nghệ Smart-Fan giúp quạt tự động dừng khi bị chặn để tránh hỏng hóc và tự động khởi động lại khi không còn vật thể chặn..
